COUNTY,Total_Low_BW,WHITE_Low_BW,BLACK_Low_BW,HISPANIC_Low_BW
ANDERSON,46,28,9,9
ANDREWS,20,7,0,13
ANGELINA,111,58,21,32
ARANSAS,31,18,0,13
ARCHER,2,2,0,0
ARMSTRONG,3,3,0,0
ATASCOSA,53,10,0,43
AUSTIN,27,15,4,8
BAILEY,8,1,0,7
BANDERA,17,10,0,7
BASTROP,71,36,8,27
BAYLOR,1,1,0,0
BEE,32,9,0,23
BELL,538,252,159,127
BEXAR,"2,422",607,268,"1,547"
BLANCO,3,2,0,1
BORDEN,1,1,0,0
BOSQUE,16,10,1,5
BOWIE,84,41,40,3
BRAZORIA,412,219,61,132
BRAZOS,199,93,53,53
BREWSTER,9,5,0,4
BRISCOE,0,0,0,0
BROOKS,12,3,0,9
BROWN,49,33,4,12
BURLESON,9,6,3,0
BURNET,30,19,1,10
CALDWELL,33,12,3,18
CALHOUN,23,12,0,11
CALLAHAN,8,7,0,1
CAMERON,562,27,1,534
CAMP,15,5,2,8
CARSON,5,5,0,0
CASS,23,9,14,0
CASTRO,9,0,0,9
CHAMBERS,50,36,2,12
CHEROKEE,53,21,15,17
CHILDRESS,9,5,0,4
CLAY,8,8,0,0
COCHRAN,2,0,1,1
COKE,1,1,0,0
COLEMAN,6,5,0,1
COLLIN,845,582,116,147
COLLINGSWORTH,2,1,0,1
COLORADO,20,8,4,8
COMAL,111,67,0,44
COMANCHE,10,7,0,3
CONCHO,2,2,0,0
COOKE,35,21,2,12
CORYELL,81,65,4,12
COTTLE,1,0,1,0
CRANE,4,0,0,4
CROCKETT,3,0,0,3
CROSBY,1,0,0,1
CULBERSON,4,1,0,3
DALLAM,10,7,0,3
DALLAS,"3,338",953,"1,108","1,277"
DAWSON,14,5,0,9
DEAF SMITH,26,3,1,22
DELTA,5,2,2,1
DENTON,665,432,88,145
DEWITT,16,6,1,9
DICKENS,8,7,0,1
DIMMIT,14,1,0,13
DONLEY,0,0,0,0
DUVAL,12,0,0,12
EASTLAND,17,16,0,1
ECTOR,242,91,9,142
EDWARDS,0,0,0,0
ELLIS,165,95,23,47
EL PASO,"1,189",149,46,994
ERATH,35,27,0,8
FALLS,24,7,8,9
FANNIN,17,10,3,4
FAYETTE,11,4,2,5
FISHER,2,1,0,1
FLOYD,6,2,0,4
FOARD,1,1,0,0
FORT BEND,793,402,201,190
FRANKLIN,14,13,0,1
FREESTONE,20,7,10,3
FRIO,28,3,0,25
GAINES,24,13,0,11
GALVESTON,331,191,70,70
GARZA,8,3,1,4
GILLESPIE,17,11,0,6
GLASSCOCK,1,1,0,0
GOLIAD,3,2,1,0
GONZALES,22,14,0,8
GRAY,29,11,0,18
GRAYSON,100,63,14,23
GREGG,113,47,35,31
GRIMES,38,16,9,13
GUADALUPE,129,67,13,49
HALE,51,13,5,33
HALL,7,1,1,5
HAMILTON,2,1,0,1
HANSFORD,7,2,0,5
HARDEMAN,3,2,0,1
HARDIN,57,48,7,2
HARRIS,"5,862","1,722","1,629","2,511"
HARRISON,55,28,20,7
HARTLEY,3,3,0,0
HASKELL,3,2,0,1
HAYS,172,71,5,96
HEMPHILL,2,1,0,1
HENDERSON,67,50,4,13
HIDALGO,"1,259",36,1,"1,222"
HILL,33,23,2,8
HOCKLEY,35,18,4,13
HOOD,39,36,0,3
HOPKINS,41,33,5,3
HOUSTON,19,5,13,1
HOWARD,45,24,1,20
HUDSPETH,5,0,0,5
HUNT,91,63,16,12
HUTCHINSON,31,25,0,6
IRION,1,1,0,0
JACK,9,8,0,1
JACKSON,15,11,0,4
JASPER,42,28,10,4
JEFF DAVIS,0,0,0,0
JEFFERSON,361,118,186,57
JIM HOGG,10,0,0,10
JIM WELLS,68,9,0,59
JOHNSON,135,105,2,28
JONES,13,11,2,0
KARNES,17,4,0,13
KAUFMAN,140,90,18,32
KENDALL,21,13,0,8
KENEDY,0,0,0,0
KENT,2,0,0,2
KERR,30,19,1,10
KIMBLE,3,2,0,1
KING,0,0,0,0
KINNEY,2,0,0,2
KLEBERG,35,6,1,28
KNOX,6,2,0,4
LAMAR,59,43,13,3
LAMB,10,2,0,8
LAMPASAS,17,17,0,0
LA SALLE,8,1,0,7
LAVACA,12,7,0,5
LEE,19,14,0,5
LEON,12,7,2,3
LIBERTY,88,59,5,24
LIMESTONE,29,18,3,8
LIPSCOMB,1,0,0,1
LIVE OAK,11,7,0,4
LLANO,11,7,1,3
LOVING,0,0,0,0
LUBBOCK,423,195,55,173
LYNN,6,1,0,5
MCCULLOCH,11,7,0,4
MCLENNAN,283,126,71,86
MCMULLEN,0,0,0,0
MADISON,10,5,2,3
MARION,12,8,4,0
MARTIN,9,6,0,3
MASON,5,1,0,4
MATAGORDA,55,23,10,22
MAVERICK,77,2,0,75
MEDINA,47,15,0,32
MENARD,1,1,0,0
MIDLAND,185,88,16,81
MILAM,31,19,3,9
MILLS,3,3,0,0
MITCHELL,11,7,0,4
MONTAGUE,17,15,0,2
MONTGOMERY,437,289,38,110
MOORE,43,22,0,21
MORRIS,16,9,5,2
MOTLEY,0,0,0,0
NACOGDOCHES,55,26,18,11
NAVARRO,65,31,20,14
NEWTON,19,14,4,1
NOLAN,13,6,0,7
NUECES,452,117,24,311
OCHILTREE,10,3,0,7
OLDHAM,5,4,0,1
ORANGE,124,98,19,7
PALO PINTO,23,14,0,9
PANOLA,15,10,3,2
PARKER,88,77,0,11
PARMER,4,3,0,1
PECOS,24,4,1,19
POLK,32,20,8,4
POTTER,208,103,39,66
PRESIDIO,9,1,0,8
RAINS,3,3,0,0
RANDALL,112,82,6,24
REAGAN,6,1,0,5
REAL,2,2,0,0
RED RIVER,14,10,4,0
REEVES,20,0,0,20
REFUGIO,5,1,1,3
ROBERTS,1,1,0,0
ROBERTSON,28,13,10,5
ROCKWALL,59,45,3,11
RUNNELS,8,2,0,6
RUSK,38,24,6,8
SABINE,5,2,2,1
SAN AUGUSTINE,9,3,5,1
SAN JACINTO,22,16,4,2
SAN PATRICIO,97,29,0,68
SAN SABA,5,3,0,2
SCHLEICHER,3,2,0,1
SCURRY,22,9,1,12
SHACKELFORD,8,8,0,0
SHELBY,23,11,5,7
SHERMAN,4,1,0,3
SMITH,250,106,84,60
SOMERVELL,12,5,0,7
STARR,121,2,0,119
STEPHENS,13,10,0,3
STERLING,0,0,0,0
STONEWALL,0,0,0,0
SUTTON,7,1,0,6
SWISHER,6,1,2,3
TARRANT,"2,251",973,587,691
TAYLOR,157,86,27,44
TERRELL,0,0,0,0
TERRY,20,6,0,14
THROCKMORTON,1,1,0,0
TITUS,36,7,13,16
TOM GREEN,127,65,9,53
TRAVIS,"1,293",582,192,519
TRINITY,11,6,3,2
TYLER,20,19,1,0
UPSHUR,27,25,1,1
UPTON,5,4,0,1
UVALDE,36,9,0,27
VAL VERDE,65,8,2,55
VAN ZANDT,40,34,4,2
VICTORIA,122,54,9,59
WALKER,47,25,9,13
WALLER,43,15,7,21
WARD,22,10,0,12
WASHINGTON,30,11,11,8
WEBB,480,21,1,458
WHARTON,58,16,12,30
WHEELER,1,1,0,0
WICHITA,176,105,33,38
WILBARGER,7,4,0,3
WILLACY,32,3,0,29
WILLIAMSON,460,285,42,133
WILSON,24,10,1,13
WINKLER,6,2,0,4
WISE,62,52,0,10
WOOD,25,21,0,4
YOAKUM,15,5,0,10
YOUNG,8,2,1,5
ZAPATA,28,0,0,28
ZAVALA,14,1,0,13
